,state,gender,age,population,population_fraction,cumulative_fraction
6277,Vermont,M,39,3285,1.3258065245332385e-05,0.9500947657041352
6278,Vermont,M,40,3456,1.394821110741818e-05,0.9501087139152427
6279,Vermont,M,41,3238,1.306837603177664e-05,0.9501217822912744
6280,Vermont,M,42,3491,1.4089469032406501e-05,0.9501358717603068
6281,Vermont,M,43,3627,1.4638356969503976e-05,0.9501505101172762
6282,Vermont,M,44,3958,1.5974253345822094e-05,0.9501664843706221
6283,Vermont,M,45,4167,1.6817764955038066e-05,0.9501833021355771
6284,Vermont,M,46,3892,1.570788125870126e-05,0.9501990100168358
6285,Vermont,M,47,3887,1.56877015551315e-05,0.950214697718391
6286,Vermont,M,48,4085,1.6486817816494e-05,0.9502311845362075
6287,Vermont,M,49,4131,1.6672471089335793e-05,0.9502478570072969
6288,Vermont,M,50,4464,1.8016439347081815e-05,0.9502658734466439
6289,Vermont,M,51,4520,1.824245202706313e-05,0.950284115898671
6290,Vermont,M,52,4736,1.9114215221276765e-05,0.9503032301138923
6291,Vermont,M,53,4694,1.894470571129078e-05,0.9503221748196036
6292,Vermont,M,54,4991,2.014338010333453e-05,0.9503423181997069
6293,Vermont,M,55,5009,2.0216027036185666e-05,0.9503625342267431
6294,Vermont,M,56,4944,1.9953690889778784e-05,0.9503824879176329
6295,Vermont,M,57,4999,2.0175667629046146e-05,0.9504026635852619
6296,Vermont,M,58,4916,1.9840684549788128e-05,0.9504225042698117
6297,Vermont,M,59,4877,1.9683282861944e-05,0.9504421875526736
6298,Vermont,M,60,4899,1.9772073557650944e-05,0.9504619596262313
6299,Vermont,M,61,4644,1.874290867559318e-05,0.9504807025349068
6300,Vermont,M,62,4469,1.8036619050651576e-05,0.9504987391539574
6301,Vermont,M,63,4374,1.7653204682826134e-05,0.9505163923586403
6302,Vermont,M,64,4229,1.706799327930309e-05,0.9505334603519195
6303,Vermont,M,65,4089,1.650296157934981e-05,0.950549963313499
6304,Vermont,M,66,4024,1.6240625432942927e-05,0.9505662039389319
6305,Vermont,M,67,3956,1.596618146439419e-05,0.9505821701203963
6306,Vermont,M,68,4064,1.6402063061501008e-05,0.9505985721834578
6307,Vermont,M,69,2797,1.12885261769238e-05,0.9506098607096347
6308,Vermont,M,70,2818,1.1373280931916792e-05,0.9506212339905666
6309,Vermont,M,71,2740,1.1058477556228535e-05,0.9506322924681229
6310,Vermont,M,72,2883,1.1635617078323674e-05,0.9506439280852012
6311,Vermont,M,73,2293,9.254412057091981e-06,0.9506531824972583
6312,Vermont,M,74,2091,8.439152032873673e-06,0.9506616216492911
6313,Vermont,M,75,1856,7.490705965094949e-06,0.9506691123552562
6314,Vermont,M,76,1724,6.957961790853282e-06,0.950676070317047
6315,Vermont,M,77,1661,6.703697525874305e-06,0.9506827740145729
6316,Vermont,M,78,1451,5.856149975944381e-06,0.9506886301645489
6317,Vermont,M,79,1364,5.505023133830555e-06,0.9506941351876826
6318,Vermont,M,80,1277,5.15389629171673e-06,0.9506992890839744
6319,Vermont,M,81,1217,4.911739848879608e-06,0.9507042008238232
6320,Vermont,M,82,1115,4.500073896056502e-06,0.9507087008977193
6321,Vermont,M,83,955,3.854323381824179e-06,0.9507125552211011
6322,Vermont,M,84,872,3.5193403025661613e-06,0.9507160745614036
6323,Vermont,M,85,4846,1.9558168699811487e-05,0.9507356327301034
6324,Vermont,F,18,4804,1.9388659189825502e-05,0.9507550213892932
6325,Vermont,F,19,5373,2.1685109456064204e-05,0.9507767064987493
6326,Vermont,F,20,5421,2.18788346103339e-05,0.9507985853333597
