Location,Burrito,Date,Neighborhood,Address,URL,Yelp,Google,Chips,Cost,Hunger,Length,Circum,Volume,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Synergy,Wrap,overall,Rec,Reviewer,Notes,Unreliable,NonSD,Beef,Pico,Guac,Cheese,Fries,Sour cream,Pork,Chicken,Shrimp,Fish,Rice,Beans,Lettuce,Tomato,Bell peper,Carrots,Cabbage,Sauce,Salsa,Cilantro,Onion,Taquito,Pineapple,Ham,Chile relleno,Nopales,Lobster,Queso,Egg,Mushroom,Bacon,Sushi,Avocado,Corn,Zucchini
Lucha Libre North Park,Surfin California,8/30/2016,,,,,,,8.25,1,,,,3,2,4,3,5,5,4,3.5,5,3.5,,Ashley G,good guac but fries could be better,,,x,x,,x,x,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,x,,
Lucha Libre North Park,Surfin California,8/30/2016,,,,,,,8.25,2,20,24.5,0.96,3.5,2,5,3.5,4,2.5,3.5,3,3.5,3.5,Yes,Richard,probably positively biased by service,,,x,x,,x,x,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,x,,
Lucha Libre North Park,Surfin California,8/30/2016,,,,,,,8.25,3,19,24,0.87,5,4,4,4,3,3,4,4,4,4,Yes,Mike T,,,,x,x,,x,x,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,x,,
Lucha Libre North Park,Surfin California,8/30/2016,,,,,,,8.25,1,19.5,25.5,1.01,4,3,3.5,3,5,4,2,3,4,3,,Sankha G,,,,x,x,,x,x,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,x,,
Lucha Libre North Park,Nutty,8/30/2016,,,,,,,7.5,3.8,19,25,0.94,3.8,4,4,4,4,4,4.5,4.5,4.5,4.4,,Luis,,,,,,,x,x,x,,x,,,x,,,,,,,x,,,,,,,,,,,,,,,,,
Lucha Libre North Park,Veg Out,8/30/2016,,,,,,,6.95,3,19,23,0.8,5,5,,5,,5,4.5,5,3,4.5,Yes,Aga,,,,,,,,,,,,,,,x,x,,x,,,x,,,,,,,,,,,,x,,,x,,x
Lucha Libre North Park,Veggie,8/30/2016,,,,,,,5.25,3,19.5,25.5,1.01,4.5,4.5,,3.5,,3,4,3.5,5,3.25,Yes,Rob G,,,,,x,,,x,,,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,
Lucha Libre North Park,Bean and cheese,8/30/2016,,,,,,,3.75,5,18,22,0.69,4,3,,1,,3,3,2,3,2,No,Meghan,Bland,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
Lucha Libre North Park,California - Steak,8/30/2016,,,,,,,7.5,2.5,19,23.5,0.83,3,3,5,3.5,3,3.5,4.5,4,4.5,3.9,Yes,Scott,"first bite sour cream, but probably the best steak I've had in a burrito",,,x,x,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucha Libre North Park,California - Steak,8/30/2016,,,,,,,7.5,5,17,23,0.72,3.5,3,2,3,3,2,4,2.5,5,3.5,,Devleena,fries = 4,,,x,x,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucha Libre North Park,California - Pork Adobada,8/30/2016,,,,,,,7.5,4,18,24.5,0.86,2,3,3,3,4,3,4,3,5,3,Yes,Erik,,,,,x,,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucha Libre North Park,California - Pork Adobada,8/30/2016,,,,,,,7.5,4.5,18,26,0.97,3.5,4,4.5,4,3.5,3.5,4,4,4.5,4.25,Yes,Ricardo,,,,,x,,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucha Libre North Park,California - Pork Adobada,8/30/2016,,,,,,,7.5,2,19,25,0.94,4,5,5,4,4.5,4.5,5,4.5,4,4.5,Yes,Erin,,,,,x,,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucha Libre North Park,California - Chicken,8/30/2016,,,,,,,7.5,4,20,23.5,0.88,3.5,2.5,3,4.5,3,2,5,4.5,3.5,2.5,Yes,Kelsey,,,,,x,x,x,x,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucha Libre North Park,California - Chicken,8/30/2016,,,,,,,7.5,3,20,22,0.77,3.5,5,3.5,4,3,3,4,2.5,5,3,No,Javier,"large, bt feels good in my hands",,,,x,,x,x,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucha Libre North Park,Holy Moly,8/30/2016,,,,,,,7.5,5,,,,3.5,2,3.5,3.5,3,4,2,2,4,3.5,,Sam A,,,,,,,x,,x,,x,,,x,,,,,,,x,,,,,,,,,,,,,,,,,
Lucha Libre North Park,Holy Moly,8/30/2016,,,,,,,7.5,3,17,21,0.6,2.5,2.5,3,2,2,1,5,1,5,1.5,No,Sage,all meat at bottom 1/8th,,,,,,x,,x,,x,,,x,,,,,,,x,,,,,,,,,,,,,,,,,
Lucha Libre North Park,Holy Moly,8/30/2016,,,,,,,7.5,4,17.5,21.2,0.63,5,3,5,5,3,2,2,3,5,4,Yes,Aaron S,,,,,,,x,,x,,x,,,x,,,,,,,x,,,,,,,,,,,,,,,,,
Lucha Libre North Park,Holy Moly,8/30/2016,,,,,,,7.5,5,19,21,0.67,5,4,2,1,4,3,5,4,2,2,,Jaeyoung,Ordered a specialty burrito and guess I was expecting an ordinary one! Sauce was good but overpowering; no veggies at all; overall just did not feel like a burrito.,,,,,,x,,x,,x,,,x,,,,,,,x,,,,,,,,,,,,,,,,,
Lucha Libre North Park,Holy Moly,8/30/2016,,,,,,,7.5,4.5,19.5,19,0.56,4,4,3.5,4.5,4,4,5,4.5,4,4,Yes,Matteo,,,,,,,x,,x,,x,,,x,,,,,,,x,,,,,,,,,,,,,,,,,
Tacos La Bala,Pastor,9/5/2016,Houston,5800 Bellaire Blvd,tacoslabala.com,4.5,4.1,,4.99,3.5,,,,2.5,2.5,4,2.5,1,1,2,4,0,2.5,No,Scott,Everything is in spanish. Get a taco or sope,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tacos La Bala,Barbacoa ,9/5/2016,,,,,,,4.99,2.5,16.5,22,0.64,2,2.5,3.5,2,3,2.5,2,2.5,2.5,2.4,No,Emily,"Burritos cut in half, felt like a wrap instead of a burrito",,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cancun Mexican & Seafood,Adobada,9/9/2016,,,,,,,6.45,3,19.5,21.5,0.72,4,5,3.5,3,3.5,3.5,4,2.5,4,3.5,Yes,Scott,Free salad,,,,,X,,,,X,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,
Cancun Mexican & Seafood,California,9/9/2016,,,,,,,6.99,4,19.5,22,0.75,3,4.5,4,4,3.5,3,4,4,5,4,Yes,Emily,,,,X,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roberto's Taco Shop Clairemont,California,9/11/2016,,,,,,,5.79,4,,,,3,4.5,4,4,4,5,2.5,3,5,3.6,Yes,Scott,Fries are really good but the overall flavor is plain because lack of ingredients,,,x,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roberto's Taco Shop Clairemont,California,9/11/2016,,,,,,,5.79,4,,,,4,3,4,2.5,3.5,4,2,2.5,5,3,No,Benni,,,,x,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roberto's Taco Shop Clairemont,California + Guac + sour cream,9/11/2016,,,,,,,7.29,3.7,,,,3.8,4.7,4,3.5,4.5,4,4,4.5,5,4,Yes,Luis,,,,x,,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roberto's Taco Shop Clairemont,Carne asada,9/11/2016,,,,,,,5.69,3,,,,4,3,1.5,3,4,4.5,3.5,2,4.5,3,No,Ricardo,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
